t,u,v,w,p,q,r,phi,theta,psi,north,east,down,aileron,elevator,rudder,throttle1,throttle2
0.000000000000000000e+00,8.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.000000000000000000e+00,8.398631256211233165e+01,0.000000000000000000e+00,-7.056796643825849813e+00,0.000000000000000000e+00,-1.811003976774412938e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.465074996654599365e-02,0.000000000000000000e+00,8.425313817281579531e+01,0.000000000000000000e+00,-7.712637609584732878e+00,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
2.000000000000000000e+00,8.352155882526277253e+01,0.000000000000000000e+00,-1.195337460710035415e+01,0.000000000000000000e+00,-1.047800404053267492e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.696331227133896502e-01,0.000000000000000000e+00,1.684366648953302104e+02,0.000000000000000000e+00,-9.941918789417531599e+00,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
3.000000000000000000e+00,8.496571216406273663e+01,0.000000000000000000e+00,-9.047534627983317534e+00,0.000000000000000000e+00,-3.314868394602103752e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.288873006633747598e-01,0.000000000000000000e+00,2.529677390016886989e+02,0.000000000000000000e+00,-3.545315438192824686e+00,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
4.000000000000000000e+00,8.692753520390377275e+01,0.000000000000000000e+00,-7.391591631879339985e+00,0.000000000000000000e+00,-6.414395800019412341e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.730056001488896933e-01,0.000000000000000000e+00,3.381643708134456574e+02,0.000000000000000000e+00,9.813257703599724380e+00,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
5.000000000000000000e+00,8.910682970632677780e+01,0.000000000000000000e+00,-9.079960788603752775e+00,0.000000000000000000e+00,-8.398834298803450893e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.519499826406302101e-01,0.000000000000000000e+00,4.243774152927954901e+02,0.000000000000000000e+00,2.883944882298927581e+01,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
6.000000000000000000e+00,9.190936892066201835e+01,0.000000000000000000e+00,-9.936766656407524323e+00,0.000000000000000000e+00,-5.830097149527203870e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.245747067919284357e-01,0.000000000000000000e+00,5.116507194236688179e+02,0.000000000000000000e+00,5.416213313939017127e+01,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
7.000000000000000000e+00,9.532685301238345232e+01,0.000000000000000000e+00,-9.530785614571799513e+00,0.000000000000000000e+00,-4.325586806704675297e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.730171064062826392e-01,0.000000000000000000e+00,6.001033223433753392e+02,0.000000000000000000e+00,8.595604410340496315e+01,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
8.000000000000000000e+00,9.901275706508685914e+01,0.000000000000000000e+00,-9.797227244619525877e+00,0.000000000000000000e+00,-4.443676559288326638e-02,0.000000000000000000e+00,0.000000000000000000e+00,-5.168919844485677650e-01,0.000000000000000000e+00,6.901006351509419119e+02,0.000000000000000000e+00,1.235286400665927999e+02,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
9.000000000000000000e+00,1.029084809434707353e+02,0.000000000000000000e+00,-1.041786314793456469e+01,0.000000000000000000e+00,-3.626905429222974930e-02,0.000000000000000000e+00,0.000000000000000000e+00,-5.581983753600044951e-01,0.000000000000000000e+00,7.819036177062210982e+02,0.000000000000000000e+00,1.664541488233580253e+02,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.000000000000000000e+01,1.070135088497279838e+02,0.000000000000000000e+00,-1.066315708051342170e+01,0.000000000000000000e+00,-2.554264508303382211e-02,0.000000000000000000e+00,0.000000000000000000e+00,-5.886324178798817419e-01,0.000000000000000000e+00,8.756898427814255683e+02,0.000000000000000000e+00,2.144875573189416968e+02,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.100000000000000000e+01,1.111973629838911819e+02,0.000000000000000000e+00,-1.095989240211132199e+01,0.000000000000000000e+00,-2.025073189981909175e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.113299366353907027e-01,0.000000000000000000e+00,9.717423039722140174e+02,0.000000000000000000e+00,2.671229580849030754e+02,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.200000000000000000e+01,1.153808145657888389e+02,0.000000000000000000e+00,-1.137344800503910669e+01,0.000000000000000000e+00,-1.400633960052154875e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.286568592550014767e-01,0.000000000000000000e+00,1.070337145697197911e+03,0.000000000000000000e+00,3.238176092967658519e+02,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.300000000000000000e+01,1.195247744109308172e+02,0.000000000000000000e+00,-1.170080746747802358e+01,0.000000000000000000e+00,-7.549896524144309069e-03,0.000000000000000000e+00,0.000000000000000000e+00,-6.392820815441992988e-01,0.000000000000000000e+00,1.171701145420878220e+03,0.000000000000000000e+00,3.840707024160867604e+02,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
